ulasan,apresiasi,kritik
  hallo masuk lihat jadwal vaksin buka terang server sedang masalah haris tunggu lama buka karna syarat foto copy datang vaksin besok sedang bisa masuk mohon bantu yaa  ,0,1
  vaksin   tiket booster peduli lindung jaki status vaksin sekali lantas bagaimana daftar boosternya perintah  kok  saling link data baik baru tambahin bintang  ,0,1
  susah buka eror padahal buka link cepat kalau absen online susah bukan main password username benar eror  ,0,1
  gw beberapa kali vaksin selalu lokasi terima umur gw   alas regulasi 18 th bawah padahal jaki sndiri lokasi tera gw daftar tolak pas gw jauh2 lokasi  orang  lokasi malah blg hubung   jaki lahhh truss napa nama lokasi dijaki register  ,0,1
  hai kak daftar online jaki masuk nama nik klik periksa selalu tulis jadi salah mohon login ya  ,0,1
  kepake jadi buang buang waktu daftar online setting wktu tanggal pas tkp kuota habis lhaa cerita bukan mudah malah main  ,0,1
  assalamualaikum jaki now enggak buka jaki putar jadi enggak buka instalnya padahal buka play store jaki baru enggak habis pikir jadi kirim jaki survei  ,0,1
  jaki daftar vaksin kalau daftar vaksin jaki baik hapus jaki bukan bantu malah sulit daftar vaksinasi covid - 19  ,0,1
  fitur daftar vaksinasi kapan pakai  ,0,1
  tiap daftar pas pilih faskes kuota penuh ganti camat bahkan tengah malem jam 00 30 coba daftar kirain nyata coba daftar hp suami bahkan tetangga  tetap  alesannya kuota penuh masa iya berhari2 penuh  ,0,1
    daftar akun ribet ussername pilih kata pakai semua dong kan jumlah manusia indonesia banyak wajar dong kalau mah  ,0,1
  penting isi jakclm sekolah selalu tulis bad gateway  ss admin mohon dong baik bug selalu update baru loh padahal  ,0,1
    kemarin download kaki   muter2   pdahal jaring masalah kuota tolong bantu dong daftar vaksin kaki  ,0,1
  kalau bikin dukung rasio lama dong ngisi henti mulu grgr rasio sesuai sesuai seluruh hape dong jangan hp rasio baru doang support si dana jakarta   bikin gede kan masa iya ngebug  ,0,1
  ngasih bintang cs bisa mw ngisi jenis kelamin aj muncul pilih alamat   kota profinsi klik muncul pilih sedang mw tulis bisa hadech ni jelas  ,0,1
  vaksin jaki awal daftar sulit cari lokasi faskes camat daftar 5 lokasi muncul moderna  ,0,1
  aktivasi akun jalan lancar entah   sempurna jadi   beri nilai kerja aparatur pemprov dki  ,0,1
  tiap daftar vaksin dosis 2 tmpat malah penuh pdhal daftar jam 00 00 masa iyya jam  u penuh bukan bantu masyarakatkalaustiap cek selalu penuh dong tingkatin layan a kata mudah malah mudah bagaimana sih  ,0,1
  bener ngisi data diri susah klik buka kolom   ngisi identitas diri sedang lewat lanjut solusi cara ngisinya klik fungsi kok  ,0,1
  baik masalah daftar vaksin nomor ktp nama sesuai 100 kok gabisa daftar terang nama ktp sesuai daftar vaksin 1 2 tdak mslah 3 jadi bermsalah ket  ,0,1
  bukan qlue sih lanjut pake  2 baru liat bentuk lapor segala macem hampir beda warna tata letak aje sampeyan   proyek baru  ,0,1
  sulit sekali daftar vaksin login loadingnya lama muncul  eror  jadi salah mohon login terussss gtu  eror  jam 9 pagi jam 1 siang cara mudah yah   daftar vaksin online  ,0,1
  vaksin gratis daftar susah dateng puskesmas kata suruh daftar dulu lewat jaki daftar 3 hari terang suruh nunggu 1x24 jam nyata 3 hari jadwal daftar kewat sih kalau nyata fungsi ampunnnn niat vaksin ribed  ,0,1
  nyusahin verifikasi nik susah bukan maen beda kek swasta foto ktp foto megang ktp benar fungsi kok mirip kek pinjol pake foto megang ktp  ,0,1
  kirain satu cakup semua nyata isi kaya playstore banyak perlu install sirukim jaksiape alpukat betawi ijakarta jakone mobil mrt - j tijeku molecool entah  ,0,1
  isi identitas lurah camat rt rw kgk buka baik lama   kgk buka lama nungguin hasil  ,0,1
  dear admin teri terima kasih  responnya akhir lebih1 bulan sejak   akun jaki tiap kali masuk pernah bilang suruh aktifasi email sekarang email aktifasi akhir sekarang email aktivitas akun sekarang akun jaki moga layan jaki masyarakat cepat teri terima kasih  editsetelahdirespon 01 06 20  ,1,1
  tahap uji coba program beta  eror  bug log out sendiri daftar developer   cek    eror  bug  ,0,1
   bagus info hujan  ,1,0
  parah anjir kuota penuh padahal cek jadwal malah web kgk bagus up to date bagaimana jdi jakarta smart city  -   -   ,0,1
  kalau  jangan  banyak   jadi pantau semua baik tingkat rt gubernur lihat masalah surat surat kalaw saran sini semua  jangan  laen alpukat jadi banyak jadi bingung  ,0,1
  kaya undi lotre jadwal banyak  orang  vaksinasi 2 kali sedang dapet longo liat  -  baik sistem   jadwal sedia akurat semua terima hak  ,0,1
  bagus saran camera nya zoom sifat sembunyi mungkin foto dekat kalau jadi  ,1,1
  percuma bikin pas vaksin sulit daftar vaksin suruh daftar lewat jaki pas daftar lewat jaki kuota penuh semua kirain camat doang penuh nyata coba2 tempat penuh hari nge datengin tempat vaksinasi 3x suruh pindah2 tempat terima usah nyuruh vaksin kalau vaksin sulit kalau bikin   jelas   bikin susah  ,0,1
  efektif sekali suhu normal pergi sekali eh  risiko  level rendah maksud coba kalau valid mending  jangan  sok an bikin deh tong kosong  ,0,1
  diupdate makin banyak fitur tarik mudah pakai efisien efektif keren sih   1 segala butuh moga makin depan  ,1,0
  daftar vaksinasi keluar unduh hasil screening tempat vaksin tolak vaksin bawa hasil screening padahal bukan bawa keluar unduh hasil screening lapor sulit bisa kirim mohon bantu laku vaksinasi sulit sekali  ,0,1
  daftar minggu tiap hari cek selalu penuh tiap dini hari ngeceknya percuma up to date  ,0,1
  jelas daftar vaksin penuh lokasi daftar sisa banyak kuota kalau susah begini mudah sulit iya  ,0,1
  butuh warga jakarta banyak sekali fitur manfaat hari moga depan tambah fitur - fitur keren keep it up jsc pemprov dki  ,1,0
  program pak anis  tepat manfaat jadi contoh daerah  ,1,0
  proses tes mandiri clm opsi nik kk jadi bawah umur  sulit isi data diri tambah opsi kak  ,0,1
  komentar jelek turut smart pakai soal layan puskesmas krg baik hubung sma aplikasi   mudah database agr laksana vaksin makin optimal banyak puskesmas bahkan sdmnya kurang baik urus pemda tempat bukan pemprov kondisi wabah kondisi luarbiasa dg cepat antisipasi dg cara digital   bagus gmna kalau kalian tggal luar dki marah2 lurah kabur kalian jkt edebah  ,1,0
  jaki scan barcode tiap scan selalu keluar tiba jaki admin baik salah thanks  ,0,1
  laku vaksinasi 2 hubung tempat vaksinasi pertama terima vaksinasi tahap 2 jenis vaksn astrazeneca sedang kosong tugas security saran daftar lewat jaki langsung daftar lewat jaki jumat 10 september 2021 bawa bukti daftar lewat jaki tuju tempat   daftar anter  panjang akhir tolak pihak tugas  ,0,1
  halo daftar vaksin masukin nik nama klik periksa selalu muncul baca capchta is not valid tau solusi bagaimana  ,0,1
  dftr vaksin kaya susah jumlah kuota   mungkin emang walk in biar dapet kuota bukan tuju daftar online jadi krumunan jumlah kuota   terlalu sdkit hingga susah akses stay jam 2 mlem ttp baca kuota habis ready kapan memang berkrumunan cari kuota vaksin walk in  ,0,1
  padahal aku cek kuota   daftar vaksin aku daftar mulu 1 bulan daftar hari h  tetap  yang eror kuota penuh tulis doang muncul padahal pas vaksin pertama daftar lancar lancar ke - 2 parah abisss daftar bulan  ,0,1
    bnyk bug percuma sosialisasi tiap rt kata   jss mudah layan nyata bikin akun daftar antri puskesmas malah suruh login masuk ehh kolom   antri puskesmas mo kontrol tensi malah bikin naik tensi   jss bingung  ,0,1
  mantap sekali ngurus surat kantor dinas laku jarak jauh moga update bagus tambah fitur  ,1,0
  turut sesuai nama smart urus data chat via whatsapp jam kerja saran baik   dukcapil smart bantul isi data jam kerja dalam perlu wa tinggal tunggu hasil keluar   jam kerja via email kurang mohon maaf terima kasih  ,0,1
   manfaat bantu masyarakat akses menu lengkap  ,1,0
   bantu adu upik tangan cepat  ,1,0
   bantu urus urus duduk dan banyak pakai ruang simpan handphone  ,1,0
   manfaat tugas ramah komunikatif  ,1,0
  bagus beberapa bug tingkat  ,1,0
  cukup bantu mudah pemrosesan tingkat  ,1,0
   manfaat   warga jogja moga kembang  ,1,0
  maju moga makin tingkat mudah masyarakat jogja urus administrasi duduk  ,1,0
  sesuai nama  smart service  ,1,0
  log in selalu ber masalah segi login bagus beda   wifi2 ini kurang akurat log in gagal pake data log in mohon tinjau ulang kak akses sebut  ,0,1
  daftar perlu foto ktp foto ktp diri sendiri nasional jenis peduli lindung perlu swafoto diri ktp ragu perintah jaga data swafoto ktp salah salah aman data curi jadi pinjol jahat  ramah privasi  ,0,1
  teras 2 lihat jadi kurang bagus  ,0,1
  perintah layan kominfo kurang fast mohon maaf daftar verifikasi  lama tim kominfo mohon baik kerja rupa layan masyarakat  ,0,1
  login klik lupa password email nomor hp koneksi  ,0,1
  mohon sempurna fitur absensi otomatis baru jalan dihp sekolah kemarin dpt infosalah satu pegawai dinas didik kami coba jalan tria terima kasih   ,0,1
  layan baik cepat  ,1,0
  akses cepat senjata korut  ,1,0
  mantap tingkat  ,1,0
  bagus mantab good job  ,1,0
   bantu sekali semua layan perintah kota yogyakarta tugas ramah bantu  ,1,0
  notif ganggu suaranyaa nyebelin teng teng teng teng teng kalau pas lgi kumpul2 kerja miting malah jadi malu tambah notifnya gabisa ilang  ,0,1
  adu lampu terang jalan mati selesai 10jam lapor conblok amblas krn hujan 2 hari selesai pohon indang tutup pandang pakai jalan 3hari selesai turut selesai masalah baik terima kasih jss  ,1,0
    daftar pas pegang ktp selfie loding smpe hari gabisa prosesssss  ,0,1
  awal doang bagus sekarang banyak masalah  ,0,1
   bantu   akta kia  ,1,0
   evektif sekali bahkan   masarakatnya bolak balik sistem terlalu riber pikir mangkas waktu mudah semua urus sangkut data diri nyata bantu sekali  ,0,1
  buka jss masuk layan pakai data seluler pakai wifi  ,0,1
  lancar butuh logout sendiri  ,0,1
  habis update akses mohon baik web bisa akses  ,0,1
  alami troubel pasu e - kinerja proses loadingnya lama bahkan trbuka coba ganti2 jaring padahal bagai pegawai penuh tanggung jawab kerja bahkan lewat batas jam kerja isi lapor malah jadi eror baik laku kece bug cara kala teri terima kasih   ,0,1
   bantu sekali informasi kena lingkup perintah  ,1,0
  benar bagus  manfaat layan tingkat pilih font huruf kurang besar kalau opsi pilih huruf lbh bagus bikin betah sering2x kunjung tambah mode gelap lbh mantap  ,1,1
   manfaat sayang detik   beberapa menu fungsi padahal fungsi menu duduk catat sipil daftar vaksin minta   baik teri terima kasih   ,0,1
   bantu sekali mantap  ,1,0
  keren ringan hp lawas fungsi luar biasa bbrp kali daftar rs pratama  eror   padahal  nunggu lewat jam 00 telah coba cara kala goodluck depelopnya sehat semua moga  eror 2  terima kasih   ,1,1
  pelayananya ramah cepat tempat nyaman anak2 friendly ngprint dokumen sndri layan wifi gratis mantep  ,1,0
  inti urus surat lurah camat  tetap  surat fisik akhir 2x kerjakalaumemang urus surat surat pake aplikasi kerja cara maksimal jelas detail laksana laksana urus surat jelas biar bikin rancu 2x kerja jelas syarat syarat upload baru smart service  ,0,1
  maaf uninstal logout sendirikalaumau masuk suruh masukin nama email no ktp password bikin males padahal tau jas   buka kok logout sendiri jadi males   apalagikalaupas wifi pemkot susah masuk cctv batas kota semua seluruh jogjakarta liput cctv sleman bantul kulon progo wonosari  ,0,1
  daftar ngisi data diri pas foto ktp kok putih semua ambil foto  ,0,1
  play cctv coba ganti 5 - 6 titik cctv semua  eror  video can t be played segera baik thanks  ,0,1
   bagus  bantu urus dokumen penting lama tudak kendala lancar  ,1,0
  kurang protektif 1 masuk daftar login no nik usser name angka sesuai identitas sya kok   pakai orang olah data pribadi liat 2 sya asli malah bisa daftar pakai suruh masuk nik tpi malah muncul identitas oramg hadeuhhhh  ,0,1
  bagus   simple niat canggih malah bikin emosi masal semua orang mudah paham aplikai   it selamat kerja keras kalau sanggup silah mundur biar ganti siap  ,1,1
  kecewa  eror  gatau pas klik daftar vaksin daftar   kalau masuk punya akun dulu pas daftar akun gabisa klik dong kesel kira ngaruh jam mulai pukul 8 nyata  ,0,1
  sekali manfaat mudah simple an malah bikin ruwet daftar vaksin ruwet ampuuun pernah update baik dulu bener2 profesional kalau bikin maaf bintang 1 deh  ,0,1
  benar bagus manfaat sayang pandu baru pernah   adu lewat jss baru pertama kali   adu hari tunggu tunggu kok adu tampil publik nyata adu rahasia mohon semua adu tampil publik opsi rahasia percaya mang mang kota yogyakarta orang orang bijaksana jadi transparan perlu rahasia  ,1,1
  provinsi umr kecil indonesia urus birokrasi pakai aplikasi bobrok register lama register login bagus cepat pinjol mending dana bikin pager alun   gaji it bikin bagus mudah   rakyat mudah muda susah pakai bagaimana orang tua sepuh2  ,0,1
   senang   rasa manfaat harap seluruh kota indonesia punya pungli o iya lama ngurus surat kota jogja pernah temu pungli  puassss  ,1,0
   bagus layan adu pemkot yogyakarta kira sistem aman tingkat ingat sekarang mudah copyan kk cecer temu orang  ,1,1
  adu pju layan disdukcapil bagus sayang latih ngeklik berkas selalu masuk kamera bukan galery padahal syarat berkas 2 mb ujung minta datang langsung dinas kait bantu kata  ,1,1
  sekali ngebantu login linknya ajha susah bener tulis jadi salah buka apliaksi baik mudah masyarakat kalau jss bisa ujung balkot jga  ,0,1
  bagus   lapang kurang ikut online kadang daftar online   report jss tempat instansi kena siap cetak file   diattach via jss jadi berkas baru proses  ,1,1
  bantu sekali kurang opsi baik syarat kurang tugas lengkap kurang berkas mohon submit mohon 3x kurang berkas sekali tulis catat  ,1,1
  semua arah sedang siap daftar vaksin pemberitahuan sms pemberitahuan lewat sore hari hari padahal vaksin siang jadwal ulang vaksin kapan batal tiket vaksin respon 1 minggu jadi ikut vaksin lain tempat direspon  ,0,1
  aplikasibagus tuju jogja smart city   perlu baik salah satu contoh akses cctv akses  ,1,1
  iki piye tho dab arep mlebu jaluki nomer nik omonge nomer nik durung daftar pas daftar nganggo nomer nik omonge nomer nik daftar diwolak walik  tetap  ra dadi bagus daftar tiap kali isi form daftar nomer nik selesai selalu pemberitahuan kalau daftar kalau masuk langsung no nik pemberitahuannya nomer   daftar padahal daftar selalu gagal ne iseh uji coba po yo  ,0,1
  balas pesan   adu hampir semua akses terang warga kota jogjakarta padahal jelas data punya daftar ktp kota jogja mohon baik  ,0,1
  langsung beri bintang 5 basa basi awal proses instalasi aju mohon ambil dokumen   jadi jalan lancar kendala mohon ubah kk cara online lsg jadi kurang hari cetak mandiri mohon ktp ubah lsg jadi kurang tengah hari lsg ambil loket mall layan publik balaikota timoho baik aju mohon dpt siap dokumen dukung  ,1,0
  layan   surat antar versi baru malah daftar warga   surat antar padahal  bantu warga punya hp android mohon perhati  ,0,1
   manfaat klik layan dukcapil khusus   akta klik sambung webnya entah hape yang masalah bagaimana mohon cerah  ,1,1
  bagus kurang muas karna akses layan tolak padahal jadi warga jogja walaupun warga datang   cabut berkas daerah asal seluruh jadi warga jogja akses layan akte lahir susah padahal adalah ibu kandung masa lampir surat kuasa upgrate baik trima kasih  ,1,1
  online cepat mudah bukan malah lambat rasa cepar manual nyiapin berkas ambil nomer antri serah selesai  ,0,1
  layan ktp klik layan wa respon tanya balai kota arah jss padahal selalu  eror   ,0,1
  akses cctv baik skrg tbtb ndak pakai  ,0,1
  kata sih sukses daftar linkwhatsapp stuck percuma dong isi datatd gagal donggggg  tetap  kudu bikin manual kantor zzzzz  ,0,1
  fitur pendaftarqn vaksin klik cek cara kala  tetap  atau memang ktp luar jogja daftar vaksin lewat  ,0,1
  baik guna isi konten banyak operasi kosong punya harap besar jss bantu banyak butuh terima kasih  ,1,0
  wa   ubah c1 minggu ubah   kirim baik lewat wa email komplain lewat wa ttp ad respon paksa dftar   ubah ktp c1 lwat fitur jss akhir wa wa muter2  ,0,1
  akses wifi gabisa padahal daftar verifikasi akun jadi gabisa akses wifi jogja serasa bohong  ,0,1
  pakai jaring cepat muat  lambat baik  ,0,1
    4 akun 2 hari muter semua guna mohon baik gitu biar proses daftar cepat kalau siap pakai mending pakai wa dulu kaya kemarin  ,0,1
  percuma pakai selalu  eror  hubung no helpdesk wa respon baca jogja mmg istimewa auto delete  ,0,1
  developer   jss   y uda gud tampil y simpel mudah erti e fungsional    kurang 1 isi formulir malah alih browser 2 nomor adu tera no respon  ,1,1
  input kerja bila data hasil masuk baik menu menu data seluruh shg tahu betul bhw data masuk  ,0,1
    daftar gagal nik deteksi bukan warga diy padahal diy asli paksa un instal krn fungsi  ,0,1
  fontnya lihat daftar cip font hpnya otomatis ukur huruf sesuai  ,0,1
  foto profil eror ubah jadi sengaja klik foto salah pas ganti padahal tulis foto profil hasil ubah refresh tetap tolong baik  ,0,1
  tuju mudah tugas kerja bukan mudah masyarakat masyarakat sebar ngurus ktp rusak mudah lewat drivthru bares buka drivthru turun kendara to lewat jss  ,0,1
  perlu banyak baik orang bantul bukan orang jogja ikut dodol tombol add tanya cs cm blank putih  ,0,1
   bantu tetap semangat jogja  ,1,0
  maksimal banyak kurang  ,0,1
  bagus instal baru sadar kalau jogja kota kecewa yaaaa  ,1,1
  pakai android redmi note 10 pro   fitur daftar vaksinasi akses kalau masuksmartphone bisa  ,0,1
  muncul notif waktu absensi kalau posisi buka baru muncul notif  ,0,1
  servernya kok down jam kerja kalau maintenance   hari jam kerja kantor   mudah birokrasi   jadi hambat kalau   siap serentak manual dulu kalau begini hambat sekali  ,0,1
  maaf pernah masang buka masuk kok susah padahal daftar  ,0,1
  bagus tambah beberapa stasiun tv misal adi tv jogja tv kresna tv stasiun televisi diy  ,1,1
  layan jss mpp  bagus  bantu masyarakat  ,1,0
  susah daftar jjs smart  ,0,1
  3 dulu bagus usul daftar deteksi domisili tempat lahir domisili mgk daerah lahir besar jogja mohon timbang jadi member bagaimana orang lahir daerah domisili jogja suwun  ,1,1
  konsultasi siswa masuk bank soal download tiap buka keder gerak padahal gerakin bawah  eror  oke  ,1,1
  update lot bikin simpan banyak baik  ,0,1
  bagus sayang akses beberapa layan ktp luar kota beberapa tahun sini  ,1,1
  bagus mungkin cari sedia layan hosting baik nama jadi down banyak user akses  ,1,1
  aktivasi pertama kali salah ketik   nik nyata bagai duduk luar kota yogyakarta 3471xxx balik 3741xxx betul nik bagaimana cara ganti email no hp terima kasih  ,0,1
  cctv play  eror  cctv jadi pantau sikon jalan  ,0,1
  jelek troble jss lihat perintah kota sendiri siap kes paksa infrastruktur dukung kualitas sdm kembang awat mumpuni bidang saran depan perintah fokus skil alam terampil rekrut sdm jangan cumua ijasah test tulis doank karna teori praktek beda jauh depan pemkot kaca luar negri fokus ijasah skil  ,0,1
  baik nyambung wifi   buka situs situs lai main youtube sulit  ,0,1
  napas kok semua cctv gabisa akses jelek kualitas dong perintah jogja dibenerin   mudah rakyat  ,0,1
  kata smart sevice cctv akses  ,0,1
  cctv buka padahal paket lancar jaya sih murni  ,0,1
   bantu masyarakat tugas ramah teri terima kasih   ,1,0
  wifi daerah rt 27 rw 06  jelek bahkan pakai  ,0,1
  makin mantabs jss sekarang makin banyak layan makin stabil tampil makin oke punya semangat temen - temen moga manfaat masyarakat umum kota jogja khusus  ,1,0
  daftar tombol daftar ridak lihat bisa scroll bawah mohon baik terima kasih  ,0,1
  mudah moga upgrade fitur2 baik  ,1,0
  minta baik sistem utama tahap daftar trouble sekali  ,0,1
  bintang 3 soal pernah daftar bikin surat mati notifnya moga kalau tak kasih bintang 5 segera direspon gih soal kaum awam masihh bingung blong koplong  ,0,1
  update baru malah susah digunakanpelaporan pajak parkir cetak kode bayar jalan  ,0,1
  layan cukup mudah respon tugas perlu tingkat trima kasih  ,1,1
  kok pas ngeseks wifi malah suruh login padahal   login akun jss kok jadi log out sendiri perbaikin  ,0,1
   manfaat masyarakat kota yogyskarta  ,1,0
   beri cerah semangat usaha teri terima kasih  sibakul  ,1,0
  jauh baik barusan coba   daftar antri puskesmas upload foto data diri lgsg close sendiri   dong  ,1,1
  bukan shortcut tuju web adress arah browser  ,0,1
  tingkat kualitas layan utama masalah jamin konektivitas masalah  ,0,1
  lumayan bantu  ,1,0
  hallo respon cepat perihal masalah daftar vaksinasi jss login info vaksin jss padahal bisa baik dapat dosis2 vaksin moderna bantu segera teri terima kasih   ,0,1
  jadi bug geser layar bawah tiba tiba mohon baik  ,0,1
  daftar latih syarat upload lengkap lolos administrasi terang berkas bikin lolos  ,0,1
  suka kok klik halaman kosong mungkin hpq suport mohon tingkat  ,1,1
  daftar ktp malah nge direct website website arah daftar via mubeng2 jal  ,0,1
  hendak aju   kartu cari kerja selesai isi biodata lanjut isi didik formal kunci tidak buka sekali kondisi tombol merah hijau  ,0,1
  susah masuk tiap masuk ganti pasword baik layan dong bikikn pusing  ,0,1
  bapak login gara gara dulu pernah login hapus sekarang login giamana cara biar login tolong  ,0,1
  parah data gw tulis hubung helpdesk daftar manual eh helpdesk dihubungin malah pernah respon niat emang   layan emang siap kelas jogja kok layan itnya gin parah  ,0,1
  baharu malah buka mohon segera baik  ,0,1
  ngurus akta mati sulit datang langsung dukcapil suruh daftar dulu lewat jss sedang jss sendiri banyak masalah bayar banyak gih   developer biar kerja bener  ,0,1
  gila parah daftar   ngurus ubah data lama coba sampek kali kali  tetap  padahal pake wifi 2hari parah sampek dateng balkot ttep bsa pake jss astagaa kelar2 urus  ,0,1
  sayang kota moga depan jangkau wilayah2 masuk diy trimksih  ,0,1
  diinstal susah bolak balik menu terinstal muncul layar hp  ,0,1
  jss joss gandoss go online go realtime moga efisien efektif manfaat warga jogja moga semua fitur fungsi lot semangatt  ,1,0
   bagus bantu tbah menu menu manfaat  ,1,0
  beberapa hari daftar akun jss masuk padahal lurah arah pakai jss terang selalu nama cocok data duduk bagaimana kalau nama bukan smart service susah tugas ngapain mending cara jadul hari jadi  ,0,1
  daftar vaksin   adik jss login klik tombok vaksinasi suruh daftar lewat wa nah wa malah suruh daftar lewat jss buka jss eror eror njok masyarakat kon kepiye bagai warga  kecewa jss bukan mudah masyarakat malah sulit mohon baik sekian kritik moga lihat dengar laksana baik matur suwun  ,0,1
  kok fitur bingung kan loading lama   kurang jelas  ,0,1
  pas mohon ektp   domisili ktp luar jogja bsa sya cmn nunut cetak ulang krna ktp sya rusak dn ktny bsa hrus tmpt kta tinggl sehrus ny bsa lhoo mnrut pak zudan lapang nyata putar  ,0,1
  update jss versi 3 0 123 baru wifi free hotspot fungsi imanapun baik  ,0,1
  applikasi percuma bagai   lempar lempar kan link data akurat  ,0,1
  turut ku simpel pendaftarn tgl ikut arah pas lokasi lgs gercep sample tengah jam lgs dpt gilir  ,1,0
  daftar suruh aktivasi ulang kirim pesan operator online responnya 3 hari tunggu acc niat sih  ,0,1
  bagus manfaat moga kang admin sehat selalu  ,1,0
  rasah gawe kemaren suruh lurah ktp gnti stts suruh wa sesuai templek neng nduwur wa smpe hrus klik link ikt antri dtggu jawabane trnyta zonk owlah suruh lwt lwt wa enak lwt aplikasi jelek cri vaksin prnh dpt akhire lwt rt sistem bobrok skali gais  ,0,1
  daftar akun kok minta update susah daftar akun padahal penting weslah  ,0,1
    daftar suruh login aneh baik  ,0,1
  baik updated sekali mohon cepat responnya  ,1,1
  layan wa helpdesk respon manfaat cantum nomor wa kalau ada jawab  ,0,1
  3 dulu y soal ken cari wifi hubung selalu miss maps ad tempat  ,0,1
  sulit login jadi aah wa klik opsi  ,0,1
  daftar   login kk susah bisa2 padahal data sesuai kartu identitas  ,0,1
  diupgrade malah buka hapus manfaat habis kouta  ,0,1
  susah login aktivasi ulang2 gabisa2  ,0,1
  banyak sistem akses padahal  bantu  ,0,1
  mohon maaf ya pencet menu mohon bantu  ,0,1
  bagus  bantu jauh kendala pengguan  ,1,0
  kurang integrasi   seluruh sub sistem mksh  ,0,1
   bagus  bantu mudah kn kn layan perintah  ,1,0
  urus pindah ktp sulit arah siap niate online malah ora efektif  ,0,1
  pernah daftar masuk lupa password bantu gtu biar masuk susa aaa  ,0,1
  selalu tingkat layan masyarakat   cara simple mudah mtr nwn  ,1,0
  bantu sekarang jjs hotspot dipakek diotak - atik ada hasil  ,1,1
  susah ngurus apa online kasi orang2 gapunya hp datang capil suruh download apl buka mudah malah sulit 3 hr gabisa buka tiap tabnya selalu warna putih pegawai perintah mohon  jangan sulit  ,0,1
  menu lapor fungsi ada data muncul  ,0,1
   bantu tambah wawas  ,1,0
   manfaat mudah langkah untuk ecek data  ,1,0
  keren mudah cepat tambah informasi  ,1,0
  bagus diupdate malah makin eror  ,1,1
  ngirim file alias bug  ,0,1
  susah   dftar latih online wa blz niat slow diblz  ,0,1
  daftar kok susah muter   menu utama  ,0,1
   tarik banyak informasi baru  ,1,0
  bintang 3 dulu kok daftar vaksin kata dipake tgl 10 juli tgl 04 oktober cara  ,0,1
  kurang bagus pakai wifi  ,0,1
  4 hari daftar muter   masuk parah jelekny  ,0,1
  iya nyata info lokasi vaksinasi plus fitur daftar boking aku kurang informasi  ,1,0
    trouble jadi   perlu sempurna  ,0,1
  jngn prank lah  ,0,1
  diupdate mlh susah bgus an kmrin  ,0,1
  nenek ayah ibu lahir tinggal jogja sejak kecil ktp diy kok baca warga luar kota  ikasinya salah data dukcapilnya salah mohon jasa teri terima kasih   ,0,1
  barusan update kok malah buka surat masuk eoffice  ,0,1
  layan  muas tugas  bantu  ,1,0
  selamat kota jogja makin maju depan layan  ,1,0
  berulang2 isi form selesai ulang ulang mutu  ,0,1
  update baru 2 juni 21 lot daftar antri puskesmas mental halaman beranda upload bpjs mohon benah maturnuwun  ,0,1
  login  ,0,1
  suka kayak jogjaku istimewa  ,1,0
  hilang nomor hilang email susah ngurusnya   masuk lgi parahhhhhhh  ,0,1
  tangan cepat tingkat biar baik  ,1,1
  salut   layan perintah kota yogyakarta makin baik  ,1,0
  daftar gagal jawab selalu username daftar padahal pernah daftar  ,0,1
  mantap layan rubah data ktp satu hari kerja selesai esok hari tinggal ambil ktp mall layan publik timoho mantap pokoke  ,1,0
    akun awal selalu gagal foto ktp jjs  ,0,1
  dishub layan angkut umum    ,0,1
  jss  bantu warga jogja urus ktp kk akta lahir nyaman warga jogja mohon kembang kan  ,1,0
  mohon maaf uodate muncul versi 076 keluar presensi sidik jari bagaimana solusi  ,0,1
    lapor simpel dulu   lapor gampang mohon baik  ,0,1
  fitur wifi ikut instruksi selalu masalah jaring padahal koneksi wifi tempat sinyal  kencang sekalipun bisa masuk  ,0,1
  lah daftar puskesmas susah daftar tutup melulu padahal pagi kan aneh eror rusak kalau puskesmas asli daftar  ,0,1
  kaya gin pencet menu vaksin malah malah keluar ana it bodoh kerja bikin kaya gin main serius depok bagus tikus das kaya gtu anak it becus  ,0,1
  keluar sendiri    padahal  mw dftr online nih kl daftar offline selalu abis kuota  ,0,1
   bantu kok sayang silondo muter2 tolong baik  ,1,1
  daftar vaksin tanggal lahir tera jelas kosong jadi susah isi tanggal lahir ingin vaksin  ,0,1
  anak imunisasi tpi daftar online pake tiap daftar keluar mulu  ,0,1
  bantu mudah bayar pajak hak usah repot2 bawa duit tahu besar harus bayar pajak  ,1,0
   mudah laku daftar antri pagi kuota  ,1,0
  lengkap bagus bantu akses informasi butuh masuk daftar online puskesmas sayang eror jadi suka keluar sendiri kalau eror uninstal kemudian instal akses mohon depan baik teri terima kasih   ,1,1
  buka baik  ,0,1
  daftar puskesmas klik daftar online auto keluar payah gambar depan muka walikotanya  ,0,1
  bagus  bantu sayang suka  eror  buka baik  ,1,1
    bagus daftar puskesmas rsud online khawatir habis no antri edit   buka baik  ,1,1
  bagus lamakalauperlu daftar buru2  ,1,1
   dipake kalau klik link selalu buka baik   ,0,1
  daftar kds bansos baik dsw tugas siap verifikasi data masuk sekarang tiap orang satu nik  ,0,1
  download formulir buka padahal dimasukin email password kali mhon tingkat layan moga makin sukses   depok  ,0,1
   kecewa antri selalu habis padahal daftar jam 12 malem masa prnh dpt kuota dri 10  ,0,1
  blank sekali  ,0,1
  daftar online mudah  ,1,0
